,tickets_id,drawing_id,line_id,bet_type,numbers,numbers_list
104,5845fde1e4b08799736667e8,polishMiniLotto_3892,1.0,NORMAL,"2,9,22,23,41","['2', '9', '22', '23', '41']"
105,5845fde1e4b08799736667e8,polishMiniLotto_3892,2.0,NORMAL,"13,25,26,33,39","['13', '25', '26', '33', '39']"
106,58509321e4b0a3476f1359e3,polishMiniLotto_3892,1.0,NORMAL,"8,18,23,33,38","['8', '18', '23', '33', '38']"
107,58509321e4b0a3476f1359e3,polishMiniLotto_3892,2.0,NORMAL,"3,15,19,25,30","['3', '15', '19', '25', '30']"
108,58643475e4b0570ce89c184f,polishMiniLotto_3892,1.0,NORMAL,"12,21,31,33,36","['12', '21', '31', '33', '36']"
109,586bc3c6e4b09baf74c46f13,polishMiniLotto_3892,1.0,NORMAL,"7,12,18,19,26","['7', '12', '18', '19', '26']"
110,586bc3c6e4b09baf74c46f13,polishMiniLotto_3892,2.0,NORMAL,"7,11,17,25,37","['7', '11', '17', '25', '37']"
111,586bc3c6e4b09baf74c46f13,polishMiniLotto_3892,3.0,NORMAL,"11,13,16,20,24","['11', '13', '16', '20', '24']"
112,586bc3c6e4b09baf74c46f13,polishMiniLotto_3892,4.0,NORMAL,"6,12,19,20,36","['6', '12', '19', '20', '36']"
113,586bc3c6e4b09baf74c46f13,polishMiniLotto_3892,5.0,NORMAL,"8,13,27,35,41","['8', '13', '27', '35', '41']"
114,587baecde4b066af0e9e15a9,polishMiniLotto_3892,1.0,NORMAL,"3,8,14,16,28","['3', '8', '14', '16', '28']"
115,587baecde4b066af0e9e15a9,polishMiniLotto_3892,2.0,NORMAL,"10,14,17,18,33","['10', '14', '17', '18', '33']"
116,587ca62fe4b00786215f9175,polishMiniLotto_3892,1.0,NORMAL,"1,3,7,12,40","['1', '3', '7', '12', '40']"
117,5883c0c0e4b094a95cad6eeb,polishMiniLotto_3892,1.0,NORMAL,"2,9,12,22,25","['2', '9', '12', '22', '25']"
118,588a6b38eab10055bf6dbdb7,polishMiniLotto_3892,1.0,NORMAL,"10,13,25,34,38","['10', '13', '25', '34', '38']"
119,5897a197457dbd49ee015294,polishMiniLotto_3892,1.0,NORMAL,"19,26,27,36,40","['19', '26', '27', '36', '40']"
120,5897a197457dbd49ee015294,polishMiniLotto_3892,2.0,NORMAL,"23,26,33,36,38","['23', '26', '33', '36', '38']"
121,5897a197457dbd49ee015294,polishMiniLotto_3892,3.0,NORMAL,"8,16,21,38,42","['8', '16', '21', '38', '42']"
122,5897a197457dbd49ee015294,polishMiniLotto_3892,4.0,NORMAL,"10,13,17,35,36","['10', '13', '17', '35', '36']"
123,5897a197457dbd49ee015294,polishMiniLotto_3892,7.0,NORMAL,"7,10,28,33,37","['7', '10', '28', '33', '37']"
124,5897a197457dbd49ee015294,polishMiniLotto_3892,8.0,NORMAL,"1,15,16,30,36","['1', '15', '16', '30', '36']"
125,5897a197457dbd49ee015294,polishMiniLotto_3892,9.0,NORMAL,"13,18,25,26,31","['13', '18', '25', '26', '31']"
126,5897a197457dbd49ee015294,polishMiniLotto_3892,10.0,NORMAL,"16,30,34,37,38","['16', '30', '34', '37', '38']"
127,58a97582c8ebd960ecd9a4f0,polishMiniLotto_3892,1.0,NORMAL,"6,15,17,34,37","['6', '15', '17', '34', '37']"
128,58d2902e15b07f28abd17d17,polishMiniLotto_3892,1.0,NORMAL,"3,12,13,15,28","['3', '12', '13', '15', '28']"
129,58d2902e15b07f28abd17d17,polishMiniLotto_3892,2.0,NORMAL,"5,19,21,24,33","['5', '19', '21', '24', '33']"
130,58dd8009b19ad30bb5322928,polishMiniLotto_3892,1.0,NORMAL,"19,21,25,37,40","['19', '21', '25', '37', '40']"
131,58e88902c689fe5007455067,polishMiniLotto_3892,1.0,NORMAL,"7,11,13,23,37","['7', '11', '13', '23', '37']"
132,58fc933fb19ad31c0e9a1336,polishMiniLotto_3892,1.0,NORMAL,"9,20,28,29,41","['9', '20', '28', '29', '41']"
133,590872a85c9c2d3f2ef87f9b,polishMiniLotto_3892,1.0,NORMAL,"8,19,24,30,42","['8', '19', '24', '30', '42']"
134,5919891c457dbd26d9574713,polishMiniLotto_3892,1.0,NORMAL,"7,10,22,25,39","['7', '10', '22', '25', '39']"
135,5919891c457dbd26d9574713,polishMiniLotto_3892,2.0,NORMAL,"20,25,30,33,35","['20', '25', '30', '33', '35']"
136,5920a5739abd3c607d351d74,polishMiniLotto_3892,1.0,NORMAL,"9,15,22,23,29","['9', '15', '22', '23', '29']"
137,5924d5c5b9b5ab77047f1238,polishMiniLotto_3892,1.0,NORMAL,"4,12,32,37,38","['4', '12', '32', '37', '38']"
138,5924d5c5b9b5ab77047f1238,polishMiniLotto_3892,2.0,NORMAL,"7,10,19,31,34","['7', '10', '19', '31', '34']"
139,592c8bb5b9b5ab1d9affe9b0,polishMiniLotto_3892,1.0,NORMAL,"3,6,14,23,36","['3', '6', '14', '23', '36']"
140,595aaff77408e424b95a9919,polishMiniLotto_3892,1.0,NORMAL,"2,9,18,33,40","['2', '9', '18', '33', '40']"
141,595df807eb8ebf54ce2b1c10,polishMiniLotto_3892,1.0,NORMAL,"4,5,13,20,36","['4', '5', '13', '20', '36']"
142,595e06e1eab100602f1d230e,polishMiniLotto_3892,1.0,NORMAL,"26,28,29,34,38","['26', '28', '29', '34', '38']"
143,596318dd5c9c2d4e8709ba56,polishMiniLotto_3892,1.0,NORMAL,"3,5,8,14,17","['3', '5', '8', '14', '17']"
144,59640b5d9abd3c19251d6605,polishMiniLotto_3892,1.0,NORMAL,"3,13,17,26,29","['3', '13', '17', '26', '29']"
145,59662ed6ea3e06190db6ec63,polishMiniLotto_3892,1.0,NORMAL,"2,7,12,19,40","['2', '7', '12', '19', '40']"
146,59662ed6ea3e06190db6ec63,polishMiniLotto_3892,2.0,NORMAL,"9,10,25,26,42","['9', '10', '25', '26', '42']"
147,59662ed6ea3e06190db6ec63,polishMiniLotto_3892,3.0,NORMAL,"6,15,26,41,42","['6', '15', '26', '41', '42']"
148,5966702b9abd3c26f274b1e2,polishMiniLotto_3892,1.0,NORMAL,"9,13,27,34,37","['9', '13', '27', '34', '37']"
149,596e454bb9b5ab5713995489,polishMiniLotto_3892,1.0,NORMAL,"3,7,19,25,33","['3', '7', '19', '25', '33']"
150,597a63819abd3c260dae7114,polishMiniLotto_3892,1.0,NORMAL,"6,10,15,25,36","['6', '10', '15', '25', '36']"
151,59818d56ea3e064199bf25e8,polishMiniLotto_3892,1.0,NORMAL,"2,5,9,16,19","['2', '5', '9', '16', '19']"
152,59818d56ea3e064199bf25e8,polishMiniLotto_3892,2.0,NORMAL,"6,11,21,23,27","['6', '11', '21', '23', '27']"
153,59818d56ea3e064199bf25e8,polishMiniLotto_3892,3.0,NORMAL,"17,20,31,33,34","['17', '20', '31', '33', '34']"
154,59818d56ea3e064199bf25e8,polishMiniLotto_3892,4.0,NORMAL,"1,14,24,41,42","['1', '14', '24', '41', '42']"
155,59818d56ea3e064199bf25e8,polishMiniLotto_3892,5.0,NORMAL,"9,22,27,36,38","['9', '22', '27', '36', '38']"
156,59818d56ea3e064199bf25e8,polishMiniLotto_3892,6.0,NORMAL,"1,7,8,19,24","['1', '7', '8', '19', '24']"
157,598996e77408e4328c7b7131,polishMiniLotto_3892,1.0,NORMAL,"2,11,14,22,25","['2', '11', '14', '22', '25']"
158,5997e25c457dbd3397ae3a70,polishMiniLotto_3892,1.0,NORMAL,"6,11,24,26,42","['6', '11', '24', '26', '42']"
159,59ce282fb19ad3793aece576,polishMiniLotto_3892,1.0,NORMAL,"1,10,18,28,36","['1', '10', '18', '28', '36']"
160,59cecb7b9abd3c2573dad7e5,polishMiniLotto_3892,1.0,NORMAL,"1,4,6,7,37","['1', '4', '6', '7', '37']"
161,59f3533beb8ebf0be4973278,polishMiniLotto_3892,1.0,NORMAL,"11,13,27,38,39","['11', '13', '27', '38', '39']"
162,59ff6ef0b9b5ab57ed53464c,polishMiniLotto_3892,1.0,NORMAL,"5,13,18,28,38","['5', '13', '18', '28', '38']"
163,5a128cb315b07f40a1707795,polishMiniLotto_3892,1.0,NORMAL,"1,8,16,30,31","['1', '8', '16', '30', '31']"
164,5a128cb315b07f40a1707795,polishMiniLotto_3892,2.0,NORMAL,"3,11,17,25,31","['3', '11', '17', '25', '31']"
165,5a128cb315b07f40a1707795,polishMiniLotto_3892,3.0,NORMAL,"6,9,23,26,40","['6', '9', '23', '26', '40']"
166,5a194ffbb19ad343b4daff42,polishMiniLotto_3892,1.0,NORMAL,"1,11,18,33,38","['1', '11', '18', '33', '38']"
167,5a1a1010ea3e066d6936dc05,polishMiniLotto_3892,1.0,NORMAL,"7,13,21,23,42","['7', '13', '21', '23', '42']"
168,5a1a1010ea3e066d6936dc05,polishMiniLotto_3892,2.0,NORMAL,"2,6,31,40,42","['2', '6', '31', '40', '42']"
169,5a25d03b9abd3c02e3e90a60,polishMiniLotto_3892,1.0,NORMAL,"5,8,25,31,42","['5', '8', '25', '31', '42']"
170,5a27b15eeb8ebf341586d154,polishMiniLotto_3892,1.0,NORMAL,"6,16,17,23,37","['6', '16', '17', '23', '37']"
171,5a3f74f13e0e0b503693bb50,polishMiniLotto_3892,1.0,NORMAL,"4,6,10,23,33","['4', '6', '10', '23', '33']"
172,5a3f74f13e0e0b503693bb50,polishMiniLotto_3892,2.0,NORMAL,"4,7,9,20,39","['4', '7', '9', '20', '39']"
173,5a49341db19ad31ba7c076ed,polishMiniLotto_3892,1.0,NORMAL,"3,6,7,8,31","['3', '6', '7', '8', '31']"
174,5a4bc9a0eb8ebf30d900c565,polishMiniLotto_3892,1.0,NORMAL,"1,5,10,11,15","['1', '5', '10', '11', '15']"
175,5a52567e3e0e0b2bb018bc82,polishMiniLotto_3892,1.0,NORMAL,"11,22,25,26,38","['11', '22', '25', '26', '38']"
176,5a52567e3e0e0b2bb018bc82,polishMiniLotto_3892,2.0,NORMAL,"18,19,22,25,37","['18', '19', '22', '25', '37']"
177,5a59e1fdeab100511bf56bae,polishMiniLotto_3892,1.0,NORMAL,"1,16,17,26,35","['1', '16', '17', '26', '35']"
178,5a59e1fdeab100511bf56bae,polishMiniLotto_3892,2.0,NORMAL,"28,29,34,35,37","['28', '29', '34', '35', '37']"
179,5a59e1fdeab100511bf56bae,polishMiniLotto_3892,3.0,NORMAL,"2,6,18,20,42","['2', '6', '18', '20', '42']"
180,5a59e1fdeab100511bf56bae,polishMiniLotto_3892,4.0,NORMAL,"24,29,33,35,37","['24', '29', '33', '35', '37']"
181,5a59e1fdeab100511bf56bae,polishMiniLotto_3892,5.0,NORMAL,"1,2,8,14,29","['1', '2', '8', '14', '29']"
182,5a63ae23457dbd35f034622b,polishMiniLotto_3892,1.0,NORMAL,"2,5,14,17,29","['2', '5', '14', '17', '29']"
183,5a6bbfccb19ad32120c42a11,polishMiniLotto_3892,1.0,NORMAL,"2,11,21,28,35","['2', '11', '21', '28', '35']"
184,5a6cf04a457dbd32982a1d64,polishMiniLotto_3892,1.0,NORMAL,"1,11,22,33,42","['1', '11', '22', '33', '42']"
185,5a6df1922763ab7811e9f772,polishMiniLotto_3892,1.0,NORMAL,"6,15,19,28,33","['6', '15', '19', '28', '33']"
186,5a7755917408e42b3ff6fa33,polishMiniLotto_3892,1.0,NORMAL,"25,26,30,32,37","['25', '26', '30', '32', '37']"
187,5a7755917408e42b3ff6fa33,polishMiniLotto_3892,2.0,NORMAL,"1,14,21,36,37","['1', '14', '21', '36', '37']"
188,5a7755917408e42b3ff6fa33,polishMiniLotto_3892,3.0,NORMAL,"8,9,21,32,41","['8', '9', '21', '32', '41']"
189,5a7755917408e42b3ff6fa33,polishMiniLotto_3892,4.0,NORMAL,"4,7,30,36,37","['4', '7', '30', '36', '37']"
190,5a7755917408e42b3ff6fa33,polishMiniLotto_3892,5.0,NORMAL,"3,12,19,35,41","['3', '12', '19', '35', '41']"
191,5a7755917408e42b3ff6fa33,polishMiniLotto_3892,6.0,NORMAL,"9,15,23,30,35","['9', '15', '23', '30', '35']"
